Path,Genre
midi/dance/Tainted Love (Soft Cell) - .mid,dance
midi/dance/Star Wars Disco (Meco) - .mid,dance
midi/dance/Better Off Alone (Alice Deejay) - .mid,dance
midi/dance/KC Medley (KC & The Sunshine Band) - .mid,dance
midi/dance/Boogie Fever (Sylvers) - .mid,dance
midi/dance/Straight Up (Paula Abdul) - .mid,dance
midi/dance/Lucky In My Life-073e7cda2469b15d0fbdb2181cb573fb.mid,dance
midi/dance/Master and Servant (Depeche Mode) - .mid,dance
midi/dance/Who's That Girl (Madonna) - .mid,dance
midi/dance/I Could Have Dance All Night - My Fair Lady (Ong Cmu) - .mid,dance
midi/dance/I Got a Girlfriend Everywhere (Lou Bega) - .mid,dance
midi/dance/Forever Your Girl (Paula Abdul) - .mid,dance
midi/dance/Spybreak (Matrix)-60151122c5bdb8827f561a1974132ea5.mid,dance
midi/dance/Love's Theme (Love Unlimited) - .mid,dance
midi/dance/Paid My Dues-ee4f888dbc25f4ce58a9ab0ef6dfc81d.mid,dance
midi/dance/J Breas (Moby) - .mid,dance
midi/dance/Careless Whisper (Wham) - .mid,dance
midi/dance/Laura-230a2f7649248f51e7cdc49c335b113e.mid,dance
midi/dance/Never Gonna Give You Up (Rick Astley) - .mid,dance
midi/dance/Getaway (Maxx) - .mid,dance
midi/dance/Around The World (2)-2c6bd6c4132252780813d7bf6ba26983.mid,dance
midi/dance/Have You Ever Been Mellow-6725e475c7c3d42871d4a9eaeceaed29.mid,dance
midi/dance/Turn the Beat Around (Vicki Sue Robinson) - .mid,dance
midi/dance/Milk Inc. Forever (Filip Vandueren (Transcribed by Bomi Kim)) - .mid,dance
midi/dance/Flashdance (Movie Themes) - .mid,dance
midi/dance/Over And Over (Madonna) - .mid,dance
midi/dance/Loops of Fury (Chemical Brothers) - .mid,dance
midi/dance/Alone (Moby) - .mid,dance
midi/dance/Good Times (Chic) - .mid,dance
midi/dance/Evacuate The Dancefloor-4470e52907d14ef86cb8fffb813adb7f.mid,dance
midi/dance/Sexy And I Know It (lmfao ) - .mid,dance
midi/dance/My Heart Beats Like A Drum-f878f4dccdf8c8aaaec436233c83564e.mid,dance
midi/dance/(The Flirts) - .mid,dance
midi/dance/Kylie-a452ec28d246a987adf6f1a23e6734d3.mid,dance
midi/dance/Fable (Robert Miles) - .mid,dance
midi/dance/Safety Dance (Men Without Hats) - .mid,dance
midi/dance/Maria (I Like It Loud)-2caa6fd5af5393474661dc6460e2d0bd.mid,dance
midi/dance/I Am Raving-63063673dee84c2445327d32a31e1491.mid,dance
midi/dance/The Blue Terror of Lawns (Moby) - .mid,dance
midi/dance/Cuba-430c807435acd7ee4adf3520f7870dd8.mid,dance
midi/dance/Digital Love (2)-aee2acf8e3c91d1cb8aeaf3424f606ae.mid,dance
midi/dance/One More Time-956805ac353e36b48c7a31399f2b1fec.mid,dance
midi/dance/Bedtime Stories (Madonna) - .mid,dance
midi/dance/The Grid-aefb0b308c902242fe549fc18aeb9bc5.mid,dance
midi/dance/Robot Rock-4688a35642b270929448d43dd82b003b.mid,dance
midi/dance/Im Out Of Love-aa23cde5b58a4360dc298004b9164f16.mid,dance
midi/dance/Ostatni Most-3f31d91c3b8851cd790b53f717849197.mid,dance
midi/dance/Computer Love (Kraftwerk) - .mid,dance
midi/dance/Your Clown-926daa101d31cbcd41fed3780d985026.mid,dance
midi/dance/Baby When The Light-a8fb544f29af8e825fce6687d26f3312.mid,dance
"midi/dance/Hey Boy, Hey Girl-34273f6d56161eea13af724cb5a4e10f.mid",dance
midi/dance/Funkytown (Lipps Inc) - .mid,dance
midi/dance/Pacific-3067db2a7c14828f35f31cb5dad819c1.mid,dance
midi/dance/Le Freak (Chic) - .mid,dance
midi/dance/God Moving Over the Face of the Waters (Moby) - .mid,dance
midi/dance/Jungle Boogie (Kool & the Gang) - .mid,dance
midi/dance/Little Star (Madonna) - .mid,dance
midi/dance/Ashtangi (Madonna) - .mid,dance
midi/dance/Right Here Right Now (Fatboy Slim) - .mid,dance
midi/dance/One Love (Prodigy) - .mid,dance
midi/dance/Don't Give Me Your Life-ff107aad35096092856880e8e7dbc4d0.mid,dance
midi/dance/Uncle John from Jamaica (Venga Boys) - .mid,dance
midi/dance/Let's Hear it for the Boy (Deniece Williams) - .mid,dance
midi/dance/Pragnienie Milosci-2b4b6da792dbfe58657f894cd9aa8035.mid,dance
midi/dance/Car Wash (Rose Royce) - .mid,dance
midi/dance/We Like to Party (Venga Boys) - .mid,dance
midi/dance/Let Forever Be-c9354524a7d73518fce066845c25f471.mid,dance
midi/dance/Going Out of My Head (Fatboy Slim) - .mid,dance
"midi/dance/Strobe (Lead, Bass, Organ)-2167d6bbf0dcbbdfc57531304e102022.mid",dance
midi/dance/Kool and the Gang - Fresh (Kool & the Gang) - .mid,dance
midi/dance/Children (Robert Miles) - .mid,dance
midi/dance/Self Control (Raf) - .mid,dance
midi/dance/Your Clown (Eiffel 65) - .mid,dance
midi/dance/Keep It Together (Madonna) - .mid,dance
midi/dance/Lady Marmalade (Labelle) - .mid,dance
midi/dance/Fascinated-a8acc5bea684507db902e59ef53674b7.mid,dance
midi/dance/Bounce-ca90a73fd2b84110057bdff444b4c7ba.mid,dance
midi/dance/What Hurts The Most-46c2ab05185595b5d63c7efafbf93914.mid,dance
midi/dance/Memories-63f8d7abfcc46c915bdbccd2f5bb3f3e.mid,dance
midi/dance/Veridis quo-7579c26c91f2023912c6410482027b27.mid,dance
midi/dance/The Son Of Flyn-d9ff9938cd0ca8915e61c52f137a3427.mid,dance
midi/dance/That's the Way I Like It (KC & The Sunshine Band) - .mid,dance
"midi/dance/Begin The Beguine-use VST Hypersonic Nylon Guitar (Ong Cmu - Lampang,Thailand 2014) - .mid",dance
midi/dance/Feel Fine-98ad7839b1be76488a4ededbe3290455.mid,dance
midi/dance/Your Love (Prodigy) - .mid,dance
midi/dance/Whos That Chick feat. Rihanna-e85be8ffd1546a76f1a0ea4028bfd5d7.mid,dance
midi/dance/Derezzed-37557a32f824be30238dde3db3a4fadb.mid,dance
midi/dance/A Fifth of Bethoveen (Walter Murphy) - .mid,dance
midi/dance/Everything She Wants (Wham) - .mid,dance
midi/dance/Dragoste de inchiriat-6dfe68409f70ca5a6e1683af0483845d.mid,dance
midi/dance/Cowboys And Kisses-de918b008f2e928154bb117e183418e1.mid,dance
midi/dance/Borderline (Madonna) - .mid,dance
midi/dance/Insomnia-c26b015d3e1ccc12e5d59daf12b6f5c8.mid,dance
midi/dance/Ladies Night (Kool & the Gang) - .mid,dance
midi/dance/Dances With Wolves (Movie Themes) - .mid,dance
midi/dance/Jesli Kochasz-1cfe4fbd64e89bd1a1c52cdaaf4d574a.mid,dance
midi/dance/Another Race-c50fb2e8a965cdb07a4275b7aa99b4e3.mid,dance
midi/dance/It Feels So Good-a6e780fd7fb4205dda0a578fb3779a4d.mid,dance
midi/dance/Smack My Bitch Up (Prodigy) - .mid,dance
midi/dance/One More Chance-3c97396272e72679941e69cec0afaadf.mid,dance
midi/dance/Last Dance (Donna Summer) - .mid,dance
midi/dance/Run Away-fa3fb9a14e491240525b442944621fe3.mid,dance
midi/dance/Crazy For You (Madonna) - .mid,dance
midi/dance/Heroes We Can Be-1742f28d5c07835a3bcfc3fa8c32ed05.mid,dance
midi/dance/Last Minute-b74f52b674adb195413aad8a3c976a6c.mid,dance
midi/dance/Water from a Vine Leaf (William Orbit) - .mid,dance
midi/dance/incomplete (Unknown) - .mid,dance
midi/dance/Young Hearts Run Free (Candi Staton) - .mid,dance
midi/dance/Macho Man (Village People) - .mid,dance
midi/dance/The Power Of Goodbye (Madonna) - .mid,dance
midi/dance/I'm Too Sexy (Right Said Fred) - .mid,dance
midi/dance/Killer-8b47281712e191db296bc59be8aa09ad.mid,dance
midi/dance/Better Off Alone-3115fb4c70f1f3cbaa3aaab7904041dd.mid,dance
midi/dance/I'll Remember (Madonna) - .mid,dance
midi/dance/Get Ready for This (2 Unlimited) - .mid,dance
midi/dance/Dreams-70b63f3522281472623b095efca14b4f.mid,dance
midi/dance/I've Got the Music in Me (Kiki Dee) - .mid,dance
midi/dance/Super Freak (Rick James) - .mid,dance
midi/dance/Rebel Yell-e568560881e9448c0ad6d4f227ddd7ab.mid,dance
midi/dance/Vibeology (Paula Abdul) - .mid,dance
midi/dance/Band of Gold (Freda Payne) - .mid,dance
midi/dance/Don't Stop (Madonna) - .mid,dance
midi/dance/Obsession-65c89f46e5a3c970732df9bb5e02ae94.mid,dance
midi/dance/Gonna' Make You Sweat (C+C Dance Factory) - .mid,dance
"midi/dance/You're the First, My Last, My Everything (Barry White) - .mid",dance
midi/dance/Dub in Life (Eiffel 65) - .mid,dance
midi/dance/Titanium-91774af7efe6ca77d32853198867c6d7.mid,dance
midi/dance/Relax (Frankie Goes to Hollywood) - .mid,dance
midi/dance/Spooky-bd2be364428bb99c006716d95356178e.mid,dance
midi/dance/Tabu Tibu-a74a488602839bd6f0927337a6b5518e.mid,dance
midi/dance/Real love feat. Jess Glynne-2bdf0f895dbb369c1790d82da92049f6.mid,dance
midi/dance/Breathe (Prodigy) - .mid,dance
midi/dance/Bizarre Love Triangle (New Order) - .mid,dance
midi/dance/Rush Rush (Paula Abdul) - .mid,dance
midi/dance/Erotica (Madonna) - .mid,dance
midi/dance/Back To My Old Smoky Mountains-2f4b6b5cef6d929cf9e3d356b8d1f73c.mid,dance
midi/dance/This Used To Be My Playground (Madonna) - .mid,dance
midi/dance/Zoetic (Vital) - .mid,dance
midi/dance/McArthur Park (Donna Summer) - .mid,dance
midi/dance/Not That Kind-89bde177e3eb0f74a494c55cf2fbaeb0.mid,dance
midi/dance/I Feel Love (Donna Summer) - .mid,dance
midi/dance/Loops Of Furry-17f838abaca0dc6ab3347505ee82a291.mid,dance
midi/dance/Psotny Wiatr-96c926a8607f94b3ea45bf585cc22939.mid,dance
midi/dance/Conga (Miami Sound Machine) - .mid,dance
midi/dance/Can't Get Enough of Your Love (Barry White) - .mid,dance
midi/dance/Get lucky feat Pharrell Williams-72086b2c599b28ae6add89307e861dc1.mid,dance
midi/dance/The Real Thing (Tony Di Bart) - .mid,dance
midi/dance/Twilight Zone (2 Unlimited) - .mid,dance
midi/dance/Der Kommissar (Falco) - .mid,dance
midi/dance/We Are Family (Sister Sledge) - .mid,dance
midi/dance/Mr. Vain-3d8ce7109dc5e4b38cf16d2303009b47.mid,dance
midi/dance/Powiedz Mamo-ae74058375616056b92c99c367495f36.mid,dance
midi/dance/Rain (Madonna) - .mid,dance
midi/dance/In the Navy (Village People) - .mid,dance
midi/dance/Sandstorm-9f052d043e1f4fb594d91a1df3611c17.mid,dance
midi/dance/Till I Come-dd3054757c9a4aa485936d68907f5c4d.mid,dance
midi/dance/I Will Survive (Gloria Gaynor) - .mid,dance
midi/dance/God Is A DJ-4f4a7d6830934c8789f8c43105613585.mid,dance
midi/dance/You Sexy Thing (Hot Chocolate) - .mid,dance
midi/dance/Wake Me Up Before You Go Go (Wham) - .mid,dance
midi/dance/Praise You (Fatboy Slim) - .mid,dance
midi/dance/Your Woman (White Town) - .mid,dance
midi/dance/Get Down On It (Kool & the Gang) - .mid,dance
midi/dance/Sandstorm (Darude) - .mid,dance
midi/dance/Macarena (Los del Rio) - .mid,dance
midi/dance/Hyper Hyper-d8034d455e79f645ed813d726363caf2.mid,dance
midi/dance/Come And Take My Hand-01d3c1050f15659a19aec98e9c22d1f0.mid,dance
midi/dance/One More Time-b0d212a8185e677eb843228d8a1d52c6.mid,dance
midi/dance/Let the Beat Control Your Body (2 Unlimited) - .mid,dance
midi/dance/Da Funk-f8df4b513f768ba40e533778121e3265.mid,dance
midi/dance/Fame (Irene Cara) - .mid,dance
midi/dance/Jo Anna (Kool & the Gang) - .mid,dance
midi/dance/Too Much of Heaven (Eiffel 65) - .mid,dance
midi/dance/Voyager-8c8706cecbdc98b1ace6af7f5f9606e9.mid,dance
midi/dance/Back In Time -aeb4b2236aef9965c22987a4cb8d6d6a.mid,dance
midi/dance/Stereo Love-47a1bdee461ba6449741e115cf3dce04.mid,dance
midi/dance/Left Outside Alone-8b3b88974eeb9eec54207002f27c21ad.mid,dance
midi/dance/Friends-0493d2a6dfb74f763f94e74df6aa2434.mid,dance
midi/dance/Blue Da Ba Dee (Eiffel 65) - .mid,dance
midi/dance/Around The World-9f64c9f685eb146612ca07d9e10db831.mid,dance
midi/dance/Martin Garrix - Pizza [MIDI] (Martin Garrix) - .mid,dance
midi/dance/Everybody's Free (Rozalla) - .mid,dance
midi/dance/It's Raining Men (Weather Girls) - .mid,dance
midi/dance/When Love Takes Over feat. Kelly Rowland-ed3098c2f939290822e7cbad135e481f.mid,dance
midi/dance/Move Your Ass-d72b11be1586f743c6f2d0d6ff0baf41.mid,dance
midi/dance/My Console-9aebde564ddcfbb6775d1e5c1c9ce244.mid,dance
midi/dance/Symphony (feat. Zara Larsson)-05f81e62b2248138fc8361fc0bfc6bb7.mid,dance
midi/dance/Lit De Parade-5ce7fd37db20a8ac45df083fdea07e0a.mid,dance
midi/dance/Autobahn (Kraftwerk) - .mid,dance
midi/dance/Shake Your Booty (KC & The Sunshine Band) - .mid,dance
midi/dance/Wont Look Back-64d7a9df4baa96d3f68635ea622c7091.mid,dance
midi/dance/Automatic Lover-61f57331bc09db3cb824caa9550f2f2e.mid,dance
midi/dance/Lucky Star (Madonna) - .mid,dance
midi/dance/Siwy Koniu-d1f60150cec3d8f84aac8d9461d1e027.mid,dance
midi/dance/Papa Don't Preach (Madonna) - .mid,dance
midi/dance/Thriller (Michael Jackson) - .mid,dance
midi/dance/Mer Girl (Madonna) - .mid,dance
midi/dance/Candy Perfume Girl (Madonna) - .mid,dance
midi/dance/Another Race (Eiffel 65) - .mid,dance
midi/dance/Mambo No. 5 (Lou Bega) - .mid,dance
midi/dance/rain electrance or someshit (anon) - .mid,dance
midi/dance/Axel F-8bb862f6d2111fa7a239f16ddd9fb280.mid,dance
midi/dance/One Day In Your Life-4026380afee7ac3f3c5f6238b90da1bf.mid,dance
midi/dance/Move You Body-ab9afe6cdb4c34d9d9551dd8b96beb57.mid,dance
midi/dance/You'll See (Madonna) - .mid,dance
midi/dance/Cosa Restera-489f5034716fba6f11b2810578cdf90d.mid,dance
midi/dance/Chariots of Fire (Vangelis) - .mid,dance
midi/dance/Don't Leave Me This Way (Thelma Houston) - .mid,dance
midi/dance/Please Don't Go (KC & The Sunshine Band) - .mid,dance
midi/dance/Love And Life-14e728fc1e05de19543a03d57eee17a8.mid,dance
midi/dance/YMCA (Village People) - .mid,dance
midi/dance/Ibiza (Venga Boys) - .mid,dance
midi/dance/Never Can Say Goodbye (Gloria Gaynor) - .mid,dance
midi/dance/Aerodynamic-dc0b3321b363ad20a0cceb5dbf3dbad5.mid,dance
midi/dance/Buchet de trandafiri-7c65a09312f4bed9bfacf6725c20eeb4.mid,dance
midi/dance/She Wants Me Dead -f0895477cf1ff69573cf0f44c4bfbca7.mid,dance
midi/dance/Living On Video (Trans-X) - .mid,dance
midi/dance/Giorgio by Moroder-4d480cc4eecbd4e73b42e86f9973bf71.mid,dance
midi/dance/Everything Counts (Depeche Mode) - .mid,dance
midi/dance/Holiday (Madonna) - .mid,dance
midi/dance/Get Down Tonight (KC & The Sunshine Band) - .mid,dance
midi/dance/Dont stop-2d7a992fa73fb1e153de69cb2e6edb5f.mid,dance
midi/dance/Human Nature (Madonna) - .mid,dance
midi/dance/Celebration (Kool & the Gang) - .mid,dance
midi/dance/Seance (Jason Flaherty) - .mid,dance
midi/dance/Skin (Madonna) - .mid,dance
midi/dance/Pszczolka Maja-29f23387ee6cf3afaf3c2790f1532903.mid,dance
midi/dance/Money-2da00565c1ef6ff96fd044f8c30682be.mid,dance
midi/dance/How Much Is The Fish-76abd20a04e09000c0296695c4b89a84.mid,dance
midi/dance/Keep It Comin' Love (KC & The Sunshine Band) - .mid,dance
midi/dance/Eternity (Snap) - .mid,dance
midi/dance/People Are People (Depeche Mode) - .mid,dance
midi/dance/Drinking In L.A.-0158a374cbf4e87a4022991ce49a4f77.mid,dance
midi/dance/Dub In Life-d5a2db90497d55ac136e2156300d36f5.mid,dance
midi/dance/Heavy On My Heart-ec7719187ca7b6d22796577f5e31d3bb.mid,dance
midi/dance/Anything-6454cb16eab9e542074d250503fe618c.mid,dance
midi/dance/Hot Stuff (Donna Summer) - .mid,dance
midi/dance/Love Mess-c5232eb468fc5d29ef97f1c330d9de28.mid,dance
midi/dance/You Make Me Feel Mighty Real (Sylvester) - .mid,dance
midi/dance/Cut the Cake (Average White Band) - .mid,dance
midi/dance/Everytime We Touch-298a8e879330397e5e7ed1f6ee8881fc.mid,dance
midi/dance/Lovers On The Son-f2f737db75e2489cb7ae0a922f1ceed3.mid,dance
midi/dance/Everyone's a Winner (Hot Chocolate) - .mid,dance
midi/dance/Setting Sun-9fe8628aefeb49c14240abc0eab73f6c.mid,dance
midi/dance/Come Into My Life-a3f35c5d00ff10e681517005ca116296.mid,dance
midi/dance/A Neverending Dream-bede6c48f175d658b7cd1b38e12e4a52.mid,dance
midi/dance/Nothing Really Matters (Madonna) - .mid,dance
midi/dance/Love Is Gone-6f0e1c53d82af70f482cbcc86104437b.mid,dance
midi/dance/Heaven Must Be Missing (Tavares) - .mid,dance
midi/dance/Imaginary Lover-d5ebbac598466f34e47cfd4dd629bd3d.mid,dance
midi/dance/Titanium-fd3650ea0fcdfa1dba86459c40926bd3.mid,dance
midi/dance/Give It To Me Baby (Rick James) - .mid,dance
midi/dance/This Is The Night-617457a755fda8b6bf0e2ae76bd62727.mid,dance
midi/metal/Dialogue With The Stars-3606a3611ea4e75f4ee1b4b8456a7c67.mid,metal
midi/metal/Here Ru Ha-6f4ad8f84a7f3ce7b4255cad0df4100f.mid,metal
midi/metal/The Exorcist-a8dd7cd239ba5f4b32a68316dc46ea25.mid,metal
midi/metal/Fire Dance-593a0621e05328259875a67c5ed91ff5.mid,metal
midi/metal/Bastard Nation-0b148a4deda01ce970bcd814aa3138b5.mid,metal
midi/metal/Them-e1642fdb1ac1dd3f090e4b0f2e9ad9f0.mid,metal
midi/metal/Bringer Of Blood-fb7aa252fc6cfbce7b6511e1c2c60b00.mid,metal
midi/metal/The New Word-9f029f14c396cbb9204846f9d82794c8.mid,metal
midi/metal/This Place Is Terrible-1edc13d49ac849cf293328aa2fe6b7bc.mid,metal
midi/metal/A Touch Of Evil-1345a44755960f27a346b9887f788a7a.mid,metal
midi/metal/Death Rattle-8cf2b25621aa71545bf45185773e6387.mid,metal
midi/metal/Looks That Kill-d1b4dea08635899fd2d1ef4ce2e2eac7.mid,metal
midi/metal/Killer-06871a26ad390016e1edaa649a311acf.mid,metal
midi/metal/Anthem Of The World-7472e8bbba4529cc907440d0afa9c592.mid,metal
midi/metal/Dark Signs (2)-a68e9dddcd541882c6ccda3d818754ed.mid,metal
midi/metal/Fantasmic-ff340e6bfc36d6778a351c99916b801a.mid,metal
midi/metal/All Against All-a9ff30837009cff63048e744a1d384ee.mid,metal
midi/metal/Becoming-2c6defa18c51f221112796448e4ef846.mid,metal
midi/metal/Forget To Remember-07ed78ed3269b58fd97de76fec565412.mid,metal
midi/metal/Disasterpiece-cbfddf93cc16dec22cd4db62961147e5.mid,metal
midi/metal/One More Word-8974a125288e2b99eeb80d573ec0e6a7.mid,metal
midi/metal/Against The Wind-8c795bce27a0f06ffd1d424ab2ce9992.mid,metal
midi/metal/Kissing The Shadows-42fb70db77c96af1d9d22e3751d65c5a.mid,metal
midi/metal/Moonshield-7412ebaeea6c42faba5305f40644d8f6.mid,metal
midi/metal/So Cold-aa4adfbb438f39a7d887cab383dfe542.mid,metal
midi/metal/The Needle Lies-b1e80f44509a97a8216848d6144d5f23.mid,metal
midi/metal/Lead Us Into The Light-d2a893ef55e5a7ad1499bac590bce0e4.mid,metal
midi/metal/Scream-6ecf489193771302f1a8e7e59f186db9.mid,metal
midi/metal/The Final Command-46c0852dab005b1d0be90ca2a46ddeff.mid,metal
midi/metal/A Sea To Suffer In-4cb75fa7cee409364dfe21989e0d07a4.mid,metal
midi/metal/Trespass-96915066105cc307522bc8872e5d82ec.mid,metal
midi/metal/Exhale The Vile-4be9a04bed0ec4e3a5fd9a1fe3e65748.mid,metal
midi/metal/I Am I-49809ec5e68b4ac132ad5122ec65ed73.mid,metal
